Year,Total,Fresh,Total,Canned,Juice,Frozen,Dried,Other
1960,"180,671","30.535,0","1.085,0","491,0","32.111,0","224,0","5,0","366,00"
1961,"183,691","30.849,0","1.362,0","366,0","32.577,0","226,0","5,0","429,00"
1962,"186,538","31.098,0","1.838,0","429,0","33.365,0","212,0","5,0","446,00"
1963,"189,242","32.645,0","2.084,0","446,0","35.175,0","298,0","5,0","590,00"
1964,"191,889","34.779,0","1.477,0","590,0","36.846,0","351,0","5,0","625,00"
1965,"194,303","33.176,0","1.396,0","625,0","35.197,0","250,0","5,0","405,00"
1966,"196,560","34.054,0","1.770,0","404,2","36.228,2","251,0","5,0","539,70"
1967,"198,712","35.752,0","1.889,0","539,7","38.180,7","264,0","5,0","558,20"
1968,"200,706","36.699,0","2.127,0","558,2","39.384,2","309,0","5,0","550,50"
1969,"202,677","36.580,0","2.243,0","550,5","39.373,5","353,0","5,0","622,90"
1970,"205,052","37.522,0","2.429,0","623,0","40.574,0","124,5","5,0","760,80"
1971,"207,661","39.012,0","2.355,0","760,8","42.127,8","146,4","5,0","785,20"
1972,"209,896","37.836,0","2.682,0","785,2","41.303,2","205,7","5,0","763,70"
1973,"211,909","35.370,0","2.607,0","763,7","38.740,7","326,6","5,0","954,80"
1974,"213,854","38.418,0","2.160,0","954,8","41.532,8","206,4","5,0","925,60"
1975,"215,973","37.038,0","2.248,0","925,6","40.211,6","336,8","5,0","778,20"
1976,"218,035","39.880,0","2.600,4","778,2","43.258,6","409,7","189,0","905,20"
1977,"220,239","39.710,0","2.425,0","905,2","43.040,2","398,4","185,0","678,80"
1978,"222,585","38.575,0","2.856,2","678,8","42.110,0","453,6","192,0","860,00"
1979,"225,055","37.624,0","2.975,3","860,0","41.459,3","461,3","211,0","834,60"
1980,"227,726","38.978,0","2.668,3","834,6","42.480,9","428,7","205,0","882,40"
1981,"229,966","39.035,0","2.333,8","882,4","42.251,2","527,2","185,0","690,90"
1982,"232,188","37.578,0","2.591,6","690,9","40.860,5","467,6","210,0","687,70"
1983,"234,307","39.270,0","2.717,3","687,7","42.675,0","496,9","185,0","823,70"
1984,"236,348","39.284,0","2.821,1","823,7","42.928,8","500,2","198,0","841,20"
1985,"238,466","39.409,0","3.254,8","841,2","43.505,0","461,2","186,0","732,80"
1986,"240,651","39.296,0","3.318,8","732,8","43.347,6","612,6","187,0","683,90"
1987,"242,804","38.684,0","3.532,2","683,9","42.900,1","718,8","186,0","757,70"
1988,"245,021","40.004,0","3.595,4","757,7","44.357,1","887,6","193,0","870,50"
1989,"247,342","39.602,0","3.121,3","870,5","43.593,8","1408,3","205,0","658,90"
1990,"250,132","38.787,0","3.295,1","658,9","42.741,0","1255,1","182,0","707,40"
1991,"253,493","39.585,0","3.223,6","707,4","43.516,0","1487,7","200,0","819,70"
1992,"256,894","40.977,0","3.136,0","819,7","44.932,6","1751,5","222,0","757,80"
1993,"260,255","40.759,3","3.194,8","757,8","44.711,8","1729,8","166,0","892,00"
1994,"263,436","42.683,2","3.164,8","892,0","46.740,0","2167,9","172,0","989,60"
1995,"266,557","43.675,1","2.831,5","989,6","47.496,2","2614,2","153,0","912,10"
1996,"269,667","43.287,9","2.764,9","912,1","46.964,9","2853,8","127,0","742,50"
1997,"272,912","43.357,9","3.061,3","742,5","47.161,7","3185,1","137,0","879,50"
1998,"276,115","45.283,5","3.460,8","879,5","49.623,8","3406,5","133,0","947,80"
1999,"279,295","46.284,5","3.812,5","947,8","51.044,8","3699,9","133,0","886,10"
2000,"282,385","46.299,0","4.127,4","886,1","51.312,5","3760,0","232,0","996,30"
2001,"285,309","45.804,0","4.259,8","996,3","51.060,1","3815,1","221,0","1.137,00"
2002,"288,105","47.305,4","4.448,3","1.137,0","52.890,7","4067,0","194,0","1.219,00"
2003,"290,820","46.709,6","4.358,9","1.219,0","52.287,5","4241,5","173,0","1.033,00"
2004,"293,463","45.556,1","4.959,5","1.033,0","51.548,6","2649,2","256,0","1.154,40"
2005,"296,186","45.848,5","4.802,6","1.154,4","51.805,5","3372,5","290,0","1.066,10"
2006,"298,996","47.675,1","4.264,7","1.066,1","53.005,9","4158,2","273,9","1.144,80"
2007,"302,004","48.819,6","4.223,2","1.144,8","54.187,6","4584,6","303,3","1.168,70"
2008,"304,798","50.355,5","3.553,3","1.168,7","55.077,5","6659,7","353,7","1.306,70"
2009,"307,439","49.399,6","3.631,1","1.306,7","54.337,4","6045,1","368,7","1.113,90"
2010,"309,746","49.154,8","3.323,0","1.113,9","53.591,8","6538,2","359,4","1.145,10"
2011,"311,997","49.335,2","3.022,0","1.145,1","53.502,3","7999,9","403,3","1.162,00"
2012,"314,211","49.542,7","3.175,2","1.162,0","53.879,8","7842,5","393,6","1.259,80"
2013,"316,359","49.271,3","3.302,4","1.259,8","53.833,5","7581,6","373,4","1.229,60"
2014,"318,662","47.434,8","4.152,9","1.229,6","52.817,3","7672,2","351,1","1.189,70"
2015,"320,978","48.520,4","4.697,6","1.189,7","54.407,7","7281,6","315,7","1.320,40"
2016,"323,291","50.481,0","4.319,1","1.320,4","56.120,5","7801,0","319,0","1.304,40"
2017,"325,186","52.078,4","4.360,8","1.304,4","57.743,6","8497,2","286,2","1.246,00"
