YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Total,Age(years),Education,Gender,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,30.1,30.1,,,24.3,36.5,834,,,,,,Hawaiian/Pacific Islander,,OWS,OWS1,Q036,VALUE,59,Race/Ethnicity,Hawaiian/Pacific Islander,RACE,RACEHPI
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,34.9,34.9,,,32.4,37.4,7291,,,,,,American Indian/Alaska Native,,OWS,OWS1,Q036,VALUE,59,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,31.7,31.7,,,29.3,34.2,8475,,,,,,2 or more races,,OWS,OWS1,Q036,VALUE,59,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,24.8,24.8,,,21.8,28.1,2446,,,,,,Other,,OWS,OWS1,Q036,VALUE,59,Race/Ethnicity,Other,RACE,RACEOTH
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,35.5,35.5,,,35.2,35.8,457487,Total,,,,,,,OWS,OWS1,Q037,VALUE,59,Total,Total,OVR,OVERALL
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,41.7,41.7,,,41.2,42.1,194211,,,,Male,,,,OWS,OWS1,Q037,VALUE,59,Gender,Male,GEN,MALE
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,29.3,29.3,,,28.9,29.7,263276,,,,Female,,,,OWS,OWS1,Q037,VALUE,59,Gender,Female,GEN,FEMALE
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,36.3,36.3,,,35.5,37.1,55422,,35 - 44,,,,,,OWS,OWS1,Q037,VALUE,59,Age (years),35 - 44,AGEYR,AGEYR3544
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,37.0,37.0,,,36.3,37.7,78259,,45 - 54,,,,,,OWS,OWS1,Q037,VALUE,59,Age (years),45 - 54,AGEYR,AGEYR4554
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,38.0,38.0,,,37.4,38.7,101611,,55 - 64,,,,,,OWS,OWS1,Q037,VALUE,59,Age (years),55 - 64,AGEYR,AGEYR5564
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,39.5,39.5,,,38.9,40.0,152140,,65 or older,,,,,,OWS,OWS1,Q037,VALUE,59,Age (years),65 or older,AGEYR,AGEYR65PLUS
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,35.8,35.8,,,35.5,36.1,358345,,,,,,Non-Hispanic White,,OWS,OWS1,Q037,VALUE,59,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,34.9,34.9,,,34.0,35.9,36815,,,,,,Non-Hispanic Black,,OWS,OWS1,Q037,VALUE,59,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,37.1,37.1,,,36.0,38.1,27737,,,,,,Hispanic,,OWS,OWS1,Q037,VALUE,59,Race/Ethnicity,Hispanic,RACE,RACEHIS
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,30.6,30.6,,,28.6,32.6,8394,,,,,,Asian,,OWS,OWS1,Q037,VALUE,59,Race/Ethnicity,Asian,RACE,RACEASN
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,32.7,32.7,,,26.6,39.4,834,,,,,,Hawaiian/Pacific Islander,,OWS,OWS1,Q037,VALUE,59,Race/Ethnicity,Hawaiian/Pacific Islander,RACE,RACEHPI
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,33.2,33.2,,,30.8,35.7,7291,,,,,,American Indian/Alaska Native,,OWS,OWS1,Q037,VALUE,59,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,31.3,31.3,,,29.1,33.7,8475,,,,,,2 or more races,,OWS,OWS1,Q037,VALUE,59,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,,Value,36.6,36.6,,,32.8,40.6,2446,,,,,,Other,,OWS,OWS1,Q037,VALUE,59,Race/Ethnicity,Other,RACE,RACEOTH
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,40.2,40.2,,,39.4,41.0,54266,,35 - 44,,,,,,FV,FV1,Q018,VALUE,59,Age (years),35 - 44,AGEYR,AGEYR3544
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,43.4,43.4,,,40.6,46.1,6840,,,,,,American Indian/Alaska Native,,FV,FV1,Q018,VALUE,59,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,38.6,38.6,,,38.2,38.9,348077,,,,,,Non-Hispanic White,,FV,FV1,Q018,VALUE,59,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,36.2,36.2,,,35.2,37.3,27400,,,,,,Hispanic,,FV,FV1,Q018,VALUE,59,Race/Ethnicity,Hispanic,RACE,RACEHIS
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,36.8,36.8,,,34.7,39.0,7961,,,,,,Asian,,FV,FV1,Q018,VALUE,59,Race/Ethnicity,Asian,RACE,RACEASN
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,38.4,38.4,,,31.8,45.5,785,,,,,,Hawaiian/Pacific Islander,,FV,FV1,Q018,VALUE,59,Race/Ethnicity,Hawaiian/Pacific Islander,RACE,RACEHPI
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,36.9,36.9,,,36.3,37.5,100241,,55 - 64,,,,,,FV,FV1,Q018,VALUE,59,Age (years),55 - 64,AGEYR,AGEYR5564
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,30.7,30.7,,,30.2,31.2,144094,,65 or older,,,,,,FV,FV1,Q018,VALUE,59,Age (years),65 or older,AGEYR,AGEYR65PLUS
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,43.2,43.2,,,42.8,43.7,180492,,,,Male,,,,FV,FV1,Q018,VALUE,59,Gender,Male,GEN,MALE
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,38.5,38.5,,,38.2,38.8,442993,Total,,,,,,,FV,FV1,Q018,VALUE,59,Total,Total,OVR,OVERALL
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,40.7,40.7,,,40.0,41.4,76330,,45 - 54,,,,,,FV,FV1,Q018,VALUE,59,Age (years),45 - 54,AGEYR,AGEYR4554
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,38.3,38.3,,,35.8,40.9,8230,,,,,,2 or more races,,FV,FV1,Q018,VALUE,59,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,34.2,34.2,,,30.4,38.2,2293,,,,,,Other,,FV,FV1,Q018,VALUE,59,Race/Ethnicity,Other,RACE,RACEOTH
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,41.8,41.8,,,40.8,42.8,34367,,,,,,Non-Hispanic Black,,FV,FV1,Q018,VALUE,59,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,34.2,34.2,,,33.8,34.6,262501,,,,Female,,,,FV,FV1,Q018,VALUE,59,Gender,Female,GEN,FEMALE
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,35.1,35.1,,,34.2,36.1,33779,,,,,,Non-Hispanic Black,,FV,FV1,Q019,VALUE,59,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,22.5,22.5,,,21.5,23.4,26788,,,,,,Hispanic,,FV,FV1,Q019,VALUE,59,Race/Ethnicity,Hispanic,RACE,RACEHIS
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,22.4,22.4,,,22.2,22.7,434803,Total,,,,,,,FV,FV1,Q019,VALUE,59,Total,Total,OVR,OVERALL
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,25.6,25.6,,,25.1,26.0,177455,,,,Male,,,,FV,FV1,Q019,VALUE,59,Gender,Male,GEN,MALE
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,19.5,19.5,,,19.2,19.9,257348,,,,Female,,,,FV,FV1,Q019,VALUE,59,Gender,Female,GEN,FEMALE
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,20.7,20.7,,,20.1,21.4,53803,,35 - 44,,,,,,FV,FV1,Q019,VALUE,59,Age (years),35 - 44,AGEYR,AGEYR3544
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,21.7,21.7,,,21.1,22.3,75481,,45 - 54,,,,,,FV,FV1,Q019,VALUE,59,Age (years),45 - 54,AGEYR,AGEYR4554
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,20.5,20.5,,,20.0,21.1,98895,,55 - 64,,,,,,FV,FV1,Q019,VALUE,59,Age (years),55 - 64,AGEYR,AGEYR5564
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,20.8,20.8,,,20.4,21.3,139389,,65 or older,,,,,,FV,FV1,Q019,VALUE,59,Age (years),65 or older,AGEYR,AGEYR65PLUS
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,20.6,20.6,,,17.3,24.4,2232,,,,,,Other,,FV,FV1,Q019,VALUE,59,Race/Ethnicity,Other,RACE,RACEOTH
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,20.4,20.4,,,20.1,20.7,341848,,,,,,Non-Hispanic White,,FV,FV1,Q019,VALUE,59,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,28.5,28.5,,,26.0,31.2,6724,,,,,,American Indian/Alaska Native,,FV,FV1,Q019,VALUE,59,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,19.5,19.5,,,17.6,21.5,8084,,,,,,2 or more races,,FV,FV1,Q019,VALUE,59,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,19.0,19.0,,,17.2,20.9,7799,,,,,,Asian,,FV,FV1,Q019,VALUE,59,Race/Ethnicity,Asian,RACE,RACEASN
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,20.4,20.4,,,16.0,25.7,754,,,,,,Hawaiian/Pacific Islander,,FV,FV1,Q019,VALUE,59,Race/Ethnicity,Hawaiian/Pacific Islander,RACE,RACEHPI
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,48.8,48.8,,,48.4,49.3,255880,,,,Female,,,,PA,PA1,Q043,VALUE,59,Gender,Female,GEN,FEMALE
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,48.6,48.6,,,47.7,49.4,52690,,35 - 44,,,,,,PA,PA1,Q043,VALUE,59,Age (years),35 - 44,AGEYR,AGEYR3544
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,49.2,49.2,,,48.5,49.9,74689,,45 - 54,,,,,,PA,PA1,Q043,VALUE,59,Age (years),45 - 54,AGEYR,AGEYR4554
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,37.4,37.4,,,30.8,44.5,773,,,,,,Hawaiian/Pacific Islander,,PA,PA1,Q046,VALUE,59,Race/Ethnicity,Hawaiian/Pacific Islander,RACE,RACEHPI
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,49.3,49.3,,,48.7,50.0,96906,,55 - 64,,,,,,PA,PA1,Q043,VALUE,59,Age (years),55 - 64,AGEYR,AGEYR5564
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,52.0,52.0,,,51.4,52.5,142468,,65 or older,,,,,,PA,PA1,Q043,VALUE,59,Age (years),65 or older,AGEYR,AGEYR65PLUS
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,50.2,50.2,,,49.9,50.5,433081,Total,,,,,,,PA,PA1,Q043,VALUE,59,Total,Total,OVR,OVERALL
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,51.6,51.6,,,51.1,52.1,177201,,,,Male,,,,PA,PA1,Q043,VALUE,59,Gender,Male,GEN,MALE
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,52.8,52.8,,,52.5,53.1,340809,,,,,,Non-Hispanic White,,PA,PA1,Q043,VALUE,59,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,44.2,44.2,,,43.2,45.2,33536,,,,,,Non-Hispanic Black,,PA,PA1,Q043,VALUE,59,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,43.9,43.9,,,42.7,45.0,26798,,,,,,Hispanic,,PA,PA1,Q043,VALUE,59,Race/Ethnicity,Hispanic,RACE,RACEHIS
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,47.1,47.1,,,44.8,49.3,7748,,,,,,Asian,,PA,PA1,Q043,VALUE,59,Race/Ethnicity,Asian,RACE,RACEASN
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,51.0,51.0,,,44.0,58.0,750,,,,,,Hawaiian/Pacific Islander,,PA,PA1,Q043,VALUE,59,Race/Ethnicity,Hawaiian/Pacific Islander,RACE,RACEHPI
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,51.0,51.0,,,48.2,53.8,6672,,,,,,American Indian/Alaska Native,,PA,PA1,Q043,VALUE,59,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,53.7,53.7,,,51.0,56.4,8069,,,,,,2 or more races,,PA,PA1,Q043,VALUE,59,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,52.1,52.1,,,48.0,56.2,2226,,,,,,Other,,PA,PA1,Q043,VALUE,59,Race/Ethnicity,Other,RACE,RACEOTH
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),,Value,29.8,29.8,,,29.1,30.4,74192,,45 - 54,,,,,,PA,PA1,Q045,VALUE,59,Age (years),45 - 54,AGEYR,AGEYR4554
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,,Value,18.2,18.2,,,17.3,19.1,26494,,,,,,Hispanic,,PA,PA1,Q044,VALUE,59,Race/Ethnicity,Hispanic,RACE,RACEHIS
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,,Value,20.2,20.2,,,18.5,22.0,7678,,,,,,Asian,,PA,PA1,Q044,VALUE,59,Race/Ethnicity,Asian,RACE,RACEASN
2013,2013,US,National,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,,Value,23.9,23.9,,,18.6,30.2,744,,,,,,Hawaiian/Pacific Islander,,PA,PA1,Q044,VALUE,59,Race/Ethnicity,Hawaiian/Pacific Islander,RACE,RACEHPI
